Account;OrderId;Sequence;Status;Currency;Value;Value STR;CreationDate;ApprovedDate;IsInStore;IsB2B;IsCallCenter;IsCertifiedMarketplace;IsCertifiedSeller;IsB2C;ExternalMarketplaceName;InternalMarketplaceAccount;MarketplaceOrderId;InternalCertifiedSellerAccount;SellerOrderId;Type
bathbodygt;1078000020830-01;509513;invoiced;GTQ;614;614;2020-11-21;2020-11-21;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078772860912-01;510249;invoiced;GTQ;178;178;2020-11-24;2020-11-24;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078770237997-01;510259;invoiced;GTQ;284;284;2020-11-24;2020-11-24;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078012105953-01;509519;invoiced;GTQ;383;383;2020-11-21;2020-11-21;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078001051726-01;509517;invoiced;GTQ;751;751;2020-11-21;2020-11-21;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078783440074-01;510267;invoiced;GTQ;350;350;2020-11-24;2020-11-24;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078870405123-01;510319;invoiced;GTQ;1546;1546;2020-11-24;2020-11-24;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078520939657-01;509775;invoiced;GTQ;376;376;2020-11-23;2020-11-23;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078972017583-01;510557;invoiced;GTQ;320;320;2020-11-25;2020-11-25;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078621142783-01;509821;invoiced;GTQ;320;320;2020-11-23;2020-11-23;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078983283096-01;510567;invoiced;GTQ;410;410;2020-11-25;2020-11-25;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078621371847-01;509823;invoiced;GTQ;253;253;2020-11-23;2020-11-23;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078521418145-01;509777;invoiced;GTQ;300;300;2020-11-23;2020-11-23;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078983323409-01;510569;invoiced;GTQ;253;253;2020-11-25;2020-11-25;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078601076381-01;509787;invoiced;GTQ;318;318;2020-11-23;2020-11-23;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078961489777-01;510555;invoiced;GTQ;403;403;2020-11-25;2020-11-25;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078961147653-01;510553;invoiced;GTQ;358;358;2020-11-25;2020-11-25;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078622862206-01;509803;invoiced;GTQ;568;568;2020-11-23;2020-11-23;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1078513198933-01;509767;invoiced;GTQ;329;329;2020-11-23;2020-11-23;False;False;False;False;False;True;;;;;;B2C
