Account;OrderId;Sequence;Status;Currency;Value;Value STR;CreationDate;ApprovedDate;IsInStore;IsB2B;IsCallCenter;IsCertifiedMarketplace;IsCertifiedSeller;IsB2C;ExternalMarketplaceName;InternalMarketplaceAccount;MarketplaceOrderId;InternalCertifiedSellerAccount;SellerOrderId;Type
victoriassecretbeautypa;1105311612306-01;504778;invoiced;USD;44.88;44,88;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105323199896-01;504784;invoiced;USD;25.41;25,41;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105343557461-01;504796;invoiced;USD;11.48;11,48;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101993091578-01;503860;invoiced;USD;29.16;29,16;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101982865668-01;503858;invoiced;USD;25.41;25,41;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105420470644-01;504814;invoiced;USD;25.41;25,41;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105400495395-01;504800;invoiced;USD;26.44;26,44;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102080569644-01;503876;invoiced;USD;25.41;25,41;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101931747198-01;503822;invoiced;USD;25.41;25,41;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105430145395-01;504816;invoiced;USD;25.41;25,41;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105431605231-01;504822;invoiced;USD;25.41;25,41;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101933276883-01;503818;invoiced;USD;57.99;57,99;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105420209606-01;504812;invoiced;USD;42.82;42,82;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101962189199-01;503842;invoiced;USD;25.41;25,41;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105442185024-01;504824;invoiced;USD;134.63;134,63;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101982333931-01;503854;invoiced;USD;23.48;23,48;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105443373411-01;504826;invoiced;USD;41.4;41,4;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102142337972-01;503928;invoiced;USD;25.41;25,41;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105472440966-01;504860;invoiced;USD;33.92;33,92;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102142806218-01;503932;invoiced;USD;29.16;29,16;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105412122841-01;504802;invoiced;USD;25.41;25,41;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102141859279-01;503920;invoiced;USD;11.49;11,49;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102120321660-01;503908;invoiced;USD;25.92;25,92;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105411696173-01;504806;invoiced;USD;25.41;25,41;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102121124574-01;503910;invoiced;USD;42.82;42,82;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105302436748-01;504756;invoiced;USD;23.48;23,48;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105461776302-01;504858;invoiced;USD;25.41;25,41;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102081789807-01;503878;invoiced;USD;25.41;25,41;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105460859455-01;504856;invoiced;USD;149.8;149,8;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102092541811-01;503882;invoiced;USD;25.41;25,41;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1102093441722-01;503884;invoiced;USD;64.23;64,23;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105463127329-01;504848;invoiced;USD;59.83;59,83;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101953177539-01;503826;invoiced;USD;25.41;25,41;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105462193647-01;504846;invoiced;USD;42.82;42,82;2021-01-23;2021-01-23;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1101950365098-01;503828;invoiced;USD;46.82;46,82;2021-01-09;2021-01-09;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105532213216-01;504910;invoiced;USD;60.34;60,34;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
victoriassecretbeautypa;1105541906032-01;504922;invoiced;USD;25.41;25,41;2021-01-24;2021-01-24;False;False;False;False;False;True;;;;;;B2C
