Account;OrderId;Sequence;Status;Currency;Value;Value STR;CreationDate;ApprovedDate;IsInStore;IsB2B;IsCallCenter;IsCertifiedMarketplace;IsCertifiedSeller;IsB2C;ExternalMarketplaceName;InternalMarketplaceAccount;MarketplaceOrderId;InternalCertifiedSellerAccount;SellerOrderId;Type
bathbodygt;1106911335877-01;524252;invoiced;GTQ;249.2;249,2;2021-01-29;2021-01-29;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101010991463-01;521494;invoiced;GTQ;458.77;458,77;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106901109038-01;524244;invoiced;GTQ;233;233;2021-01-29;2021-01-29;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101011570950-01;521496;invoiced;GTQ;851.12;851,12;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106910118360-01;524248;invoiced;GTQ;384;384;2021-01-29;2021-01-29;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106951669608-01;524308;invoiced;GTQ;487.9;487,9;2021-01-29;2021-01-29;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101022608270-01;521502;invoiced;GTQ;434.98;434,98;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101023151434-01;521506;invoiced;GTQ;711.76;711,76;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106960751720-01;524314;invoiced;GTQ;178;178;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101020849442-01;521518;invoiced;GTQ;461.16;461,16;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106952330577-01;524300;invoiced;GTQ;140.5;140,5;2021-01-29;2021-01-29;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101120744376-01;521608;invoiced;GTQ;540.52;540,52;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106970728005-01;524326;invoiced;GTQ;111.5;111,5;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1101130559064-01;521612;invoiced;GTQ;212.2;212,2;2021-01-05;2021-01-05;False;False;False;False;False;True;;;;;;B2C
bathbodygt;1106972813814-01;524320;invoiced;GTQ;232;232;2021-01-30;2021-01-30;False;False;False;False;False;True;;;;;;B2C
